tr,sigma,phi
-0.646736,0.0190808,0
-0.645567,0.0188501,0
-0.652924,0.018679,0
-0.667289,0.0257409,0
-0.659384,0.0231824,0
-0.648102,0.0178744,0
-0.641121,0.0237046,0
-0.646878,0.0213549,0
-0.650292,0.0185243,0
-0.668001,0.0209261,0
-0.649445,0.0258196,0
-0.661442,0.0215709,0
-0.613968,0.0195767,0
-0.67797,0.0245178,0
-0.667583,0.01973,0
-0.651194,0.0230351,0
-0.651207,0.0257611,0
-0.654598,0.0236149,0
-0.67443,0.0196766,0
-0.632636,0.0219293,0
-0.610847,0.0213189,0
-0.681252,0.0230982,0
-0.663746,0.0210652,0
-0.685896,0.0252604,0
-0.651255,0.0170124,0
-0.63147,0.0199835,0
-0.690128,0.0181801,0
-0.631208,0.0219872,0
-0.624899,0.0260493,0
-0.657004,0.0236933,0
-0.62324,0.0185644,0
-0.626579,0.022954,0
-0.654722,0.021711,0
-0.649462,0.0227656,0
-0.653963,0.0231038,0
-0.648495,0.017759,0
-0.656178,0.0198265,0
-0.634743,0.0242917,0
-0.662086,0.0227884,0
-0.622492,0.023594,0
-0.665439,0.0212164,0
-0.661434,0.018646,0
-0.680714,0.0182102,0
-0.684268,0.0210846,0
-0.634937,0.0195733,0
-0.618119,0.0195054,0
-0.650293,0.0243413,0
-0.672195,0.0190293,0
-0.63225,0.0220868,0
-0.651758,0.0190118,0
-0.644626,0.0227099,0
-0.650192,0.020777,0
-0.634919,0.0245694,0
-0.65824,0.0200831,0
-0.63457,0.0280426,0
-0.643524,0.029016,0
-0.657442,0.0196543,0
-0.680105,0.0185671,0
-0.665248,0.0180995,0
-0.674793,0.0248702,0
-0.676136,0.0222856,0
-0.660892,0.0217428,0
-0.661878,0.0181159,0
-0.637604,0.0191279,0
-0.655884,0.021323,0
-0.644807,0.0223386,0
-0.651022,0.024265,0
-0.64306,0.0225892,0
-0.622641,0.0163541,0
-0.675533,0.0158962,0
-0.653693,0.0172275,0
-0.639798,0.0243771,0
-0.654648,0.0174819,0
-0.64673,0.0226781,0
-0.656795,0.023032,0
-0.635822,0.0201908,0
-0.656752,0.0220571,0
-0.649748,0.0197496,0
-0.645185,0.0181124,0
-0.64125,0.0191206,0
-0.65235,0.0200309,0
-0.636553,0.0189444,0
-0.643785,0.0216877,0
-0.646635,0.0195361,0
-0.649778,0.0272502,0
-0.656707,0.0209214,0
-0.663718,0.0189694,0
-0.651047,0.0204072,0
-0.635924,0.0213674,0
-0.657478,0.0175674,0
-0.652719,0.0231853,0
-0.638496,0.0171357,0
-0.644905,0.0217681,0
-0.645104,0.0220401,0
-0.637247,0.0237725,0
-0.661241,0.0176825,0
-0.66745,0.0231915,0
-0.635059,0.0172859,0
-0.644135,0.0209073,0
-0.65005,0.022136,0
-0.639465,0.0242777,0
-0.662149,0.0238671,0
-0.633826,0.0237833,0
-0.657939,0.0247897,0
-0.643045,0.0211771,0
-0.664612,0.0192572,0
-0.675955,0.0227454,0
-0.650322,0.0210933,0
-0.648432,0.0217355,0
-0.634165,0.0181254,0
-0.653163,0.0166096,0
-0.648176,0.0186944,0
-0.645735,0.0213022,0
-0.647417,0.0217729,0
-0.653809,0.0213437,0
-0.64199,0.0237161,0
-0.679998,0.0188169,0
-0.663111,0.0214983,0
-0.64563,0.0209305,0
-0.681064,0.0234557,0
-0.660249,0.0191486,0
-0.634745,0.0228603,0
-0.670763,0.0217313,0
-0.692624,0.0231451,0
-0.651335,0.0200516,0
-0.676189,0.0202071,0
-0.652045,0.0248952,0
-0.619956,0.02045,0
-0.682159,0.0216846,0
-0.66498,0.0220803,0
-0.6247,0.0164442,0
-0.637914,0.0214144,0
-0.638943,0.0244739,0
