tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3
1.05451,0.00158375,1.80673e-146,-0.000172665,-1.07688,-1.63743e-05,7.58785e-147,3.49848e-05
1.11414,0.000788255,6.73678e-148,-0.000846481,-1.07852,8.40081e-05,3.10888e-148,6.67626e-05
1.06313,-0.00134067,2.7707e-149,-0.00154642,-1.07749,-2.7826e-05,1.27948e-149,-1.6366e-05
1.08214,-0.00106482,1.11715e-150,0.00211237,-1.07605,4.06696e-05,5.2621e-151,-4.02833e-05
1.06202,0.00244342,4.61091e-152,-0.000666879,-1.07705,3.33724e-05,2.17148e-152,-3.2093e-05
1.06409,0.000933461,1.97037e-153,-0.00113412,-1.07612,-0.000117957,9.06566e-154,-5.62571e-05
1.07897,0.00133354,7.55302e-155,-0.00062457,-1.07657,-9.75958e-05,3.63069e-155,-7.90924e-05
1.06657,-0.00100121,3.0221e-156,-3.33143e-05,-1.07823,-6.14568e-05,1.44485e-156,4.95018e-06
1.0699,0.00126609,1.24678e-157,-0.00121934,-1.07585,-4.58461e-05,5.96975e-158,5.71448e-05
1.0494,0.00237094,5.51278e-159,0.000701929,-1.07558,-0.000170044,2.43179e-159,-1.14655e-05
1.06834,0.000146844,2.2074e-160,-0.000729923,-1.07623,2.31797e-05,1.00607e-160,-5.49274e-05
1.07231,0.000542997,9.39361e-162,0.000394321,-1.07567,5.01609e-05,4.25591e-162,6.71445e-05
1.06574,0.00160801,4.02733e-163,-0.000947281,-1.07387,4.5569e-05,1.80078e-163,-5.54837e-05
1.04928,0.00229882,1.56236e-164,-0.00126483,-1.07679,-2.26913e-05,7.43325e-165,0.000147518
1.09589,-0.000124405,7.2557e-166,0.00150783,-1.07804,-4.5116e-05,3.13426e-166,5.82008e-05
1.08371,-0.000138047,3.0108e-167,0.000335948,-1.07584,-5.38513e-05,1.31957e-167,1.12853e-05
1.03961,-0.000869299,1.32167e-168,-0.000317992,-1.07677,3.65076e-06,5.55772e-169,0.00014533
1.06512,-0.000449275,4.93528e-170,-0.00164448,-1.07587,-7.77632e-05,2.27143e-170,-1.44666e-06
1.10299,0.000259888,2.01647e-171,-0.00239615,-1.07803,-2.84778e-05,9.5201e-172,8.81515e-05
1.04959,0.00147359,9.02724e-173,0.00172277,-1.07496,-0.000115043,3.92583e-173,-3.03378e-05
1.12424,-0.00197081,3.46558e-174,0.000173053,-1.07788,7.29163e-05,1.63744e-174,-4.66214e-05
1.09435,0.000805486,1.50489e-175,-0.00022985,-1.0765,-3.68709e-05,6.66959e-176,2.21764e-05
1.08358,-0.000341251,6.00995e-177,-0.00042429,-1.07616,3.91143e-05,2.73331e-177,-2.26032e-05
1.06638,0.000290594,2.53837e-178,0.000825907,-1.07449,1.79665e-05,1.14859e-178,-2.99592e-05
1.05408,-6.05472e-05,1.02666e-179,0.000759327,-1.07386,-2.78007e-06,4.75266e-180,7.61982e-05
1.04329,-0.00123355,4.19516e-181,-0.00151889,-1.07632,0.000138486,1.95696e-181,-0.000127418
1.08518,-5.72365e-05,1.81595e-182,-0.000627893,-1.07821,7.92749e-05,8.17887e-183,-7.46584e-05
1.08077,1.41102e-05,7.35217e-184,0.00182531,-1.07496,0.000123962,3.2973e-184,-5.86392e-05
1.0462,-0.000185305,3.0588e-185,-0.00111557,-1.07657,-4.6019e-06,1.4043e-185,4.4342e-05
1.07828,-0.000936994,1.22711e-186,-0.0007477,-1.07613,-4.28203e-05,5.61096e-187,1.90012e-05
1.06632,0.00143583,5.29793e-188,0.00117767,-1.07698,-8.87044e-05,2.33142e-188,-0.000126181
1.0296,0.000476647,2.15056e-189,-0.000424375,-1.07434,-0.000103099,9.56646e-190,1.34449e-05
1.06036,-0.0016962,8.37835e-191,-0.000182928,-1.0753,7.25901e-05,3.79743e-191,-0.000104389
1.08163,-0.000209917,3.0351e-192,-0.00062053,-1.07426,4.15945e-05,1.50599e-192,0.000115775
1.10221,-0.000626881,1.4403e-193,-0.00110401,-1.07514,-1.87775e-05,6.35091e-194,3.80786e-05
1.0385,-0.0013209,5.69701e-195,-0.000565586,-1.07806,0.000218798,2.5717e-195,9.90779e-05
1.0869,-0.00107075,2.48616e-196,-0.000248925,-1.08033,-5.51465e-05,1.06819e-196,-1.44224e-05
1.12215,0.00124493,9.87565e-198,-0.000249136,-1.07669,-5.07598e-05,4.42152e-198,6.7286e-05
1.09171,0.00109797,4.00094e-199,-0.000310708,-1.0777,-5.30366e-05,1.84013e-199,-7.94169e-06
1.09672,0.00131501,1.58413e-200,-0.00192764,-1.07497,-1.80866e-05,7.45289e-201,3.87381e-05
1.04493,-0.00152633,6.80158e-202,0.000360816,-1.07754,-1.61922e-05,3.11981e-202,-5.17992e-05
1.0483,0.000201257,2.72394e-203,-0.00131593,-1.07513,8.14736e-06,1.29282e-203,4.22351e-05
1.05804,-0.000932486,1.14637e-204,0.00179044,-1.0753,-4.15638e-05,5.31688e-205,-5.49314e-05
1.06859,0.00190198,4.56711e-206,0.000307646,-1.07472,-1.56436e-05,2.17496e-206,-4.38344e-05
1.07433,-0.000484642,1.96616e-207,-3.10617e-05,-1.07406,-8.11235e-06,8.85558e-208,-3.69853e-05
1.08367,-0.000969506,8.51027e-209,-0.00124291,-1.07732,3.11704e-05,3.74815e-209,9.24413e-05
1.11106,0.000614587,3.25643e-210,-0.00197182,-1.07658,2.72867e-06,1.51546e-210,5.32876e-05
1.10264,-0.00161999,1.43932e-211,0.000177528,-1.07712,-1.12422e-08,6.01504e-212,-1.4223e-05
1.08077,-0.00103262,5.52521e-213,-0.00210439,-1.0788,8.42306e-05,2.50492e-213,2.59864e-05
1.08743,-0.00029959,2.42205e-214,-7.09966e-05,-1.07818,-6.01692e-05,1.03846e-214,5.18459e-05
1.07328,-0.00132396,9.53128e-216,-0.00047259,-1.07749,-3.78232e-05,4.25801e-216,1.99091e-05
1.07003,-0.000844271,3.98467e-217,-0.00155113,-1.07403,-4.97405e-05,1.78254e-217,0.000101286
1.04696,0.0010409,1.70875e-218,-0.00249861,-1.07858,-7.89794e-05,7.46314e-219,3.05038e-06
1.04616,0.00101135,6.60909e-220,-0.00183966,-1.07661,-1.28618e-05,3.1158e-220,1.36133e-05
1.05648,-0.000631215,2.85176e-221,0.00214803,-1.07565,-3.31737e-05,1.31195e-221,-7.31752e-05
1.06674,0.00161079,1.11404e-222,-0.000854922,-1.07187,-0.000133196,5.47677e-223,-7.01586e-06
1.04904,-0.00114119,5.06905e-224,0.00107482,-1.0726,2.26213e-05,2.36444e-224,3.56955e-06
1.06619,-0.000816658,2.24147e-225,-0.000632375,-1.07371,-8.85255e-05,9.97489e-226,0.000136928
1.08529,-0.0013887,9.20499e-227,0.000165692,-1.07501,-6.22251e-05,4.10491e-227,2.74636e-06
1.07752,-0.00184519,3.98528e-228,-4.4846e-05,-1.07559,-5.97509e-05,1.71367e-228,7.2159e-05
1.06304,-0.00103167,1.49755e-229,0.000625402,-1.07665,0.000116686,6.88463e-230,6.49183e-05
1.07972,0.000546032,6.14244e-231,-0.0013923,-1.07408,0.000116126,2.78898e-231,-1.63892e-05
1.0734,0.0001845,2.64224e-232,-0.000499733,-1.07409,-1.28635e-05,1.17779e-232,-7.27831e-05
1.07987,0.000576844,1.13663e-233,-0.00205455,-1.07442,-0.000112191,4.78634e-234,8.22736e-05
1.10794,0.000253392,4.5871e-235,-0.00135429,-1.07599,3.47679e-05,1.9933e-235,4.93046e-05
1.04111,-7.37531e-05,1.84835e-236,-0.000400774,-1.07605,-1.26668e-05,8.30888e-237,-2.28909e-05
1.07093,0.000698632,7.14519e-238,-0.000460024,-1.07418,-0.000144858,3.45307e-238,-7.37748e-05
1.07676,-0.00187745,3.23402e-239,0.000311143,-1.07497,0.000164794,1.45539e-239,-1.96139e-05
1.06913,-0.000311031,1.30675e-240,0.000931005,-1.07602,-1.92622e-05,5.89741e-241,-0.000124507
1.05624,-0.000985352,5.33175e-242,-0.000131791,-1.07632,3.51776e-05,2.48119e-242,7.47124e-05
1.05773,0.00171372,2.22072e-243,-0.000435907,-1.07606,-0.000115585,1.03914e-243,1.21319e-06
1.04084,-2.12109e-05,8.73189e-245,-0.00116002,-1.07429,1.5636e-05,4.16307e-245,-7.8831e-05
1.05517,0.000294755,3.47061e-246,0.00191563,-1.07618,-0.000110211,1.70492e-246,-4.12819e-05
