tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3
1.07088,0.00204045,0,5.72954e-05,-1.07542,4.84873e-05,0,3.34627e-05
1.06969,-0.000404622,-0,0.00147127,-1.07535,3.6999e-05,0,2.19141e-05
1.06337,0.000583262,0,-0.0010255,-1.07614,1.35187e-05,0,-2.72035e-05
1.06748,0.00226085,0,-0.0022256,-1.0757,-4.80627e-05,0,7.63688e-05
1.09538,0.000984564,0,0.000154175,-1.07711,-0.000115381,0,-2.09743e-05
1.06219,0.000920699,-0,-0.000484354,-1.07585,6.47457e-05,0,1.57577e-06
1.04124,-0.000987976,-0,-0.000881687,-1.07632,-2.21445e-05,0,5.89078e-06
1.06405,-0.000236004,0,-0.000683044,-1.07699,2.41915e-05,0,-8.1096e-05
1.10007,0.000261754,0,-0.00186417,-1.07848,3.03212e-05,0,4.28586e-05
1.07483,-0.000154459,0,0.00060015,-1.07686,-3.07026e-05,0,-0.000104146
1.07542,0.00183556,0,0.000859502,-1.07784,-0.000109975,0,7.40057e-06
1.05328,-0.00079987,0,0.000175459,-1.07702,-2.33486e-05,0,1.83419e-05
1.05853,-0.00237858,0,0.00416156,-1.0734,-0.000117634,0,-0.000118877
1.06179,-0.00346881,0,-0.000241616,-1.0757,2.32271e-05,0,-3.68903e-05
1.06373,-0.000549767,0,0.00249737,-1.07694,0.0001203,0,-3.02574e-05
1.07775,-0.000786364,-0,0.00077071,-1.07855,3.95856e-06,0,3.64016e-05
1.09171,0.000940254,-0,-0.000422417,-1.07806,-2.61464e-05,0,-5.4934e-05
1.04447,0.00236731,-0,-0.000120257,-1.07461,-2.03274e-05,0,3.0206e-05
1.06704,-0.00077245,0,0.000833947,-1.07621,-1.99368e-05,0,-4.27186e-05
1.06596,-0.00136023,-0,0.00133468,-1.07883,8.65154e-05,0,9.22235e-05
1.07015,0.000901599,-0,0.000234755,-1.07609,1.90329e-05,0,7.6646e-06
1.08658,-0.000983102,0,-0.00248374,-1.07495,-5.36281e-05,0,1.93216e-05
1.07142,-0.000970363,0,-0.0017228,-1.07425,-7.4998e-05,-0,1.92463e-05
1.07732,-3.72792e-05,0,-0.00142913,-1.07376,-4.384e-05,-0,0.000114915
1.04624,-0.000758514,0,-0.00161086,-1.07243,3.45998e-06,-0,2.59e-05
1.07087,0.00153564,0,-0.00137537,-1.07321,-1.11007e-05,-0,7.49973e-05
1.06469,0.000463113,-0,0.000793285,-1.0738,0.000101434,-0,-1.04998e-05
1.07176,0.00144458,0,-0.000513572,-1.07563,8.43851e-05,-0,-5.59357e-05
1.1036,0.00273155,-0,0.000782442,-1.07509,-4.43722e-07,0,1.15504e-05
1.05628,-5.65023e-05,0,0.00142654,-1.07441,9.14804e-05,0,6.7243e-05
1.07073,0.000429853,0,-0.00145034,-1.07826,-9.02177e-06,0,-0.000233962
1.10615,0.000469583,0,-0.0004415,-1.0758,-4.19513e-07,0,-5.58056e-05
1.0771,0.000388026,0,0.00165638,-1.07775,-1.97139e-05,0,-0.000126166
1.05009,-0.000861224,0,0.000314989,-1.07598,-5.80719e-05,0,-0.000141904
1.07845,0.00111345,0,-0.00223073,-1.07459,-5.62812e-06,0,5.78275e-05
1.06798,-0.000437547,0,-0.000775113,-1.07769,0.00014459,0,1.18504e-06
1.05612,0.00109231,-0,-0.00141107,-1.07602,0.000113197,0,-5.61382e-06
1.0672,-0.000346814,0,-0.00114478,-1.07392,-1.24627e-05,0,6.91031e-05
1.08638,9.31635e-05,0,0.000458698,-1.07553,9.19562e-05,0,-2.16141e-05
1.05898,-0.00254535,0,-0.00141853,-1.07551,3.48238e-05,0,2.87397e-05
1.05996,0.000751537,0,-0.00111739,-1.07601,-5.78323e-05,0,3.03223e-06
1.06368,-0.000685904,0,0.000105915,-1.07759,0.000164843,0,3.30248e-05
1.06207,2.77688e-05,-0,-0.000443349,-1.07424,1.58762e-05,0,1.16783e-05
1.08304,3.42679e-05,0,0.000978101,-1.07435,-0.000130442,0,-7.00339e-05
1.07705,-0.00138192,-0,-0.00204798,-1.07408,-0.000115966,0,3.65415e-05
1.06241,-0.000444027,-0,0.000195923,-1.07508,-3.87298e-05,-0,0.000104697
1.05644,-0.00240537,0,0.000196739,-1.07579,9.78226e-06,-0,0.000152599
1.08124,-0.000173124,-0,0.000170965,-1.07329,-0.000152726,0,6.27376e-06
1.04956,0.00203106,-0,-0.000737863,-1.07803,3.19898e-05,-0,-7.19266e-05
1.09605,-0.00181306,-0,0.00063995,-1.07809,6.84251e-05,-0,-6.99119e-05
1.10338,0.000525107,0,0.000417,-1.07728,6.2496e-05,-0,-2.9117e-05
1.07961,0.000552014,-0,-0.00179728,-1.07665,7.13808e-05,-0,-1.19547e-05
1.06288,-0.000308604,0,-0.00199348,-1.07714,0.000100217,-0,7.95382e-05
1.06226,-0.00194954,-0,0.000259619,-1.07782,5.93935e-05,0,0.00011934
1.08048,-0.000630575,-0,-0.000725519,-1.07961,3.42129e-05,0,-5.71883e-05
1.10464,0.000623855,0,0.000335421,-1.07567,1.70861e-06,0,-5.12063e-05
1.05828,-0.000416497,0,-0.000673928,-1.07567,6.35236e-05,0,5.87305e-05
1.09658,0.00225848,0,-0.000185307,-1.07315,-5.4898e-05,0,2.54993e-05
,0,0.000153975
1.071,0.000740486,0,-0.00038953,-1.07355,-9.88851e-05,0,-5.11883e-05
7e-05
1.06358,0.00132331,-0,0.00113812,-1.078,4.7621e-05,0,5.2262e-05
1.06649,-8.1813e-05,0,-0.00062588,-1.07654,-3.05878e-05,0,-4.16318e-05
1.06904,0.00102473,-0,-0.000322748,-1.07606,-0.000109183,0,0.000198094
1.04276,0.000570544,0,-0.000536707,-1.07659,2.52705e-05,0,0.000138392
1.04358,-0.000945363,0,0.00192232,-1.07484,3.21567e-05,0,-5.73877e-05
1.11823,-0.000783574,0,0.000415962,-1.07647,0.000128588,0,1.99549e-05
1.07797,0.000376344,-0,-0.00021722,-1.07703,8.66671e-05,0,4.79227e-06
1.07139,-0.000967176,-0,-0.000791823,-1.07645,4.1626e-05,0,-2.65398e-07
1.1072,-0.000116388,-0,-0.000475369,-1.0791,-3.19585e-05,0,-9.29557e-05
1.07856,0.000893232,0,-0.00148714,-1.07685,-7.46308e-05,0,4.29416e-05
1.07299,0.00116796,-0,-0.000893271,-1.07588,1.22295e-05,0,0.000163468
1.07915,0.000138885,-0,-0.000851432,-1.07377,3.01095e-06,0,-3.79627e-05
1.05382,0.000435222,0,8.32522e-05,-1.07591,-7.4252e-05,0,0.000103031
1.05612,0.00107035,0,0.000486951,-1.07521,-6.45451e-05,0,9.24593e-06
1.09479,0.000888035,0,0.000639561,-1.07295,8.447e-05,0,-5.12263e-05
1.08043,0.000979709,0,-0.000518774,-1.07435,-4.14033e-05,0,4.13883e-05
1.05668,-0.000275724,0,0.00165285,-1.07683,8.26672e-05,0,-5.90959e-05
1.06613,0.000508861,0,0.000324315,-1.07734,8.97982e-06,0,-2.6871e-05
1.04771,-0.00134233,0,-0.0012138,-1.0768,0.000170223,0,6.32935e-06
1.08218,-0.000955602,0,-0.00217803,-1.07518,-9.49087e-06,0,2.90713e-06
1.0731,-0.00171009,-0,0.000191506,-1.07558,-0.000132932,0,1.08129e-05
1.08391,-0.00116107,0,0.00218708,-1.07916,-4.98408e-05,0,-0.000123517
1.07762,-0.000510267,-0,0.00102761,-1.07707,7.84769e-05,0,2.17713e-05
1.08178,-0.000984862,-0,0.000482486,-1.07403,2.61987e-05,0,7.0827e-05
1.08352,0.000703053,0,0.000384993,-1.07315,-9.12127e-05,0,-4.55454e-05
1.06833,0.00102287,-0,-0.000307264,-1.07735,-8.76903e-05,0,-2.48693e-05
1.1055,0.000720931,0,-0.00235737,-1.07589,0.000147757,0,-4.32006e-05
1.04597,-0.00136685,0,0.00158094,-1.07784,-3.98521e-05,0,-3.13774e-05
1.07442,0.00258847,0,-0.000735549,-1.0763,-4.53516e-05,0,9.67163e-05
1.11484,-0.0011182,0,0.000761867,-1.07401,0.000106051,0,-0.000109542
1.06681,-0.000835381,0,-0.00078613,-1.07507,2.2113e-05,0,-0.000148337
1.08456,-0.00117815,-0,-0.000981128,-1.07383,4.59725e-05,0,7.28864e-06
1.08668,0.000799923,0,-0.000489836,-1.07788,-8.87831e-05,0,-8.49279e-05
1.06272,-0.00131388,0,1.34611e-05,-1.07647,6.37377e-05,0,1.38595e-06
1.07732,0.000492264,0,-0.000585775,-1.0755,-4.34795e-05,0,0.000105799
1.06451,0.00137734,-0,-0.000165238,-1.07359,-2.48065e-05,0,-6.01117e-05
1.07203,-0.000240207,0,0.00124884,-1.07429,0.000146864,0,1.17687e-05
1.09197,0.000652411,0,-0.000961947,-1.07762,3.90122e-05,0,5.46291e-05
1.05719,9.48083e-05,0,-0.000596242,-1.07562,1.30987e-05,0,6.1109e-05
1.01717,-0.000438873,-0,0.000875274,-1.07903,4.71146e-05,0,-0.000112746
1.07462,0.000417879,-0,0.00247545,-1.07471,7.47515e-05,0,-0.000113152
1.09394,-0.0016827,-0,0.000755515,-1.07582,1.13304e-05,-0,6.91029e-05
1.06903,-0.00065097,0,-0.00156579,-1.07651,6.54013e-05,-0,-0.000134022
1.06295,-0.000128298,0,-0.000690481,-1.07747,6.39353e-05,-0,1.70952e-05
1.10702,-0.00184049,-0,0.000930852,-1.07596,4.88113e-05,-0,8.62706e-05
1.04642,-0.00160732,0,0.0023861,-1.07579,-0.000134078,-0,3.19012e-05
1.05474,-0.000504639,-0,-0.000170201,-1.07611,-4.75044e-05,0,3.21452e-05
1.09505,-0.000852068,0,0.00015999,-1.07439,4.72004e-05,0,-1.68111e-05
1.08853,-0.00023731,-0,-7.14283e-05,-1.07798,-1.81558e-06,0,-3.97786e-06
1.1001,-0.00120389,0,-0.000877176,-1.07947,-5.09664e-05,0,8.08299e-05
1.05976,-0.0008884,0,0.000664461,-1.07707,-8.33688e-05,0,9.08834e-05
1.12132,0.00106705,0,0.00132797,-1.07571,-5.13001e-05,0,-6.81138e-05
1.08025,-5.59459e-06,-0,0.000245395,-1.07304,1.56943e-05,0,-1.51729e-06
1.04294,0.000911441,-0,-0.000419685,-1.07454,-2.43236e-05,0,9.48834e-06
1.10896,0.000227085,-0,0.00243972,-1.0789,4.17776e-06,0,0.000141885
1.10536,0.00164358,-0,-0.000487984,-1.0792,-5.49268e-05,0,-3.74361e-06
1.05111,0.00051692,0,-0.000189984,-1.07828,-9.17796e-05,-0,6.48481e-05
1.08758,-0.00126046,0,0.0014816,-1.07685,4.21051e-05,-0,-3.70239e-05
1.07598,0.000351339,-0,0.000465756,-1.07645,-2.91026e-05,-0,2.06952e-05
1.06296,0.000879723,-0,0.00102039,-1.07966,-2.70567e-05,0,1.54253e-05
1.07663,-0.00164244,-0,0.000350231,-1.07863,-3.9282e-05,0,1.05633e-06
1.08057,0.00170362,-0,0.000151468,-1.07842,-4.29102e-05,0,-4.04994e-05
1.06746,-0.00191443,-0,0.000118351,-1.07819,2.52601e-05,0,3.9862e-05
-1.07391,3.06205e-05,0,5.02444e-05
1.10104,0.000716481,-0,-0.0017934,-1.07848,-4.6464e-05,0,-4.09917e-06
1.05325,-0.00221966,0,0.000189585,-1.07476,1.74269e-05,0,1.09189e-05
1.04508,-0.00134413,0,-0.000815147,-1.07401,-1.13234e-05,0,-5.3441e-05
-0.000641038,-1.07706,-6.82551e-06,-0,-9.55912e-05
1.07218,0.00162708,0,-0.00166144,-1.07642,-0.000122968,-0,3.25933e-05
1.08134,0.00104662,-0,0.0013033,-1.0768,5.91756e-05,-0,4.42336e-05
00343984,-1.07682,-0.000116851,-0,-0.000125892
1.09491,0.000296548,-0,0.00142732,-1.07784,0.000122318,-0,-0.00018248
1.05201,0.000386041,0,0.00156427,-1.07681,-2.97544e-05,-0,-0.000118167
1.06046,-0.00200763,-0,-0.000336337,-1.07508,1.52474e-05,-0,7.2721e-05
1.06865,-0.00149925,-0,-0.00128968,-1.07499,3.61026e-05,-0,2.98624e-05
1.09723,-0.000116197,0,-0.00191822,-1.07506,8.65203e-05,-0,2.52153e-05
1.08324,-0.000582115,0,0.00018125,-1.07458,-5.7975e-05,-0,-6.11355e-05
1.07577,-0.000332595,0,0.000448811,-1.07587,2.72837e-05,-0,6.66822e-05
1.08273,-0.000659273,-0,0.000793897,-1.077,1.10851e-05,-0,4.42444e-05
