tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.619749,-0.00220016,-0.00536843,-0.00341297,-0.0351538,0.0408245,0.13327,0.17182,0.224021
-0.732784,0.00300257,-0.000340567,-0.00652108,0.00433886,-0.0873815,0.00559207,0.21347,0.23077
-0.648604,0.000191258,0.00347875,-0.00238929,0.0914305,0.0180857,-0.130082,0.1013,0.189393
-0.62272,-0.00428451,0.00381223,-0.00498279,0.0861226,0.117413,-0.13291,0.148887,0.247054
-0.623738,-0.0055093,0.00394367,-0.00113709,0.177733,0.198849,-0.133264,0.057126,0.303567
-0.677204,-0.00337453,0.00353796,0.000132665,0.197662,0.112665,-0.0426088,0.0513189,0.237093
-0.555135,-0.00517795,0.00295916,-0.000849763,0.182407,0.134256,-0.133916,0.0258367,0.264382
-0.7671,-0.00169411,0.00531279,-0.00363575,0.169465,0.0292882,-0.0888304,0.111382,0.223323
-0.685566,-0.00113282,0.00223304,0.000181358,0.0852974,0.0401949,-0.123108,0.0044768,0.155135
-0.581879,-0.000824031,0.00104651,0.000726926,0.0489888,0.0421548,-0.0350355,-0.0034528,0.0735958
-0.586525,0.00178779,0.00471934,0.00383018,0.088745,0.0143376,-0.158578,-0.163489,0.244861
-0.692482,-0.00252478,0.00291888,0.00465334,0.0449145,0.0543028,-0.0817386,-0.144354,0.180237
-0.719627,-0.00125043,-0.000100825,0.00430127,0.0152739,-0.0496015,0.0375413,-0.169243,0.180959
-0.686702,0.00241123,-0.000998039,0.00200964,0.140082,-0.0695572,0.0542017,-0.0722014,0.180588
-0.764093,0.00164932,-0.00300061,0.00682248,0.130633,-0.0270602,0.0745376,-0.240789,0.285189
-0.69915,0.00171841,-0.00261437,0.00747601,0.117192,-0.021845,0.107699,-0.232696,0.282768
-0.624671,0.000959388,-0.00291777,0.00637974,0.137737,-0.00934842,0.101571,-0.231161,0.287769
-0.644085,0.0020629,-0.00427829,0.00614591,0.190597,-0.0830742,0.143345,-0.17266,0.305921
-0.534452,0.00440275,-0.00484759,0.00517998,0.0965552,-0.125121,0.170734,-0.153893,0.278947
-0.704983,0.000949484,-0.00242743,0.00429122,0.210874,-0.0273108,0.157447,-0.147741,0.303035
-0.682893,-0.00262108,-0.00787703,0.00324248,0.17053,0.0820547,0.21855,-0.119252,0.312727
-0.566631,-0.00174572,-0.00289749,0.00485753,0.193663,0.0566441,0.108788,-0.165597,0.282791
-0.544481,0.00146124,-0.00469794,-0.000427922,0.121766,-0.0493104,0.152614,0.0468098,0.206738
-0.58505,0.000357876,-0.00211031,-0.000789087,0.110824,-0.0277718,0.0368593,0.0346126,0.12494
-0.707448,0.00584086,-0.0011459,0.00406242,0.120599,-0.15512,0.00529622,-0.154254,0.249857
-0.806628,0.00178965,-0.00193191,0.00160834,0.0635048,-0.02847,0.0474521,-0.0400458,0.0932672
-0.59972,-0.00280669,0.000791311,0.000329537,0.0589347,0.0983395,-0.00972342,-0.0273987,0.118276
-0.727779,-0.000912477,-0.000188604,0.000803391,0.100046,0.0618094,-0.0230474,-0.0260747,0.12264
-0.658928,0.00135854,-0.0029268,0.00185919,0.118043,-0.0611548,0.0741986,-0.0894063,0.176559
-0.623043,-0.00125035,-0.00321622,-0.00080111,0.074159,0.0612479,0.0940525,0.050261,0.143607
-0.667752,-0.00320995,-0.00542374,0.000467669,0.129652,0.085147,0.18162,0.00969873,0.239039
-0.568327,-0.000350203,-0.00398349,0.00351498,0.222141,-0.0134376,0.121049,-0.137088,0.288051
-0.633739,-0.000889288,-0.00367713,0.00499209,0.14351,0.0832693,0.122588,-0.173347,0.269455
-0.633278,-0.00263557,-0.00422959,0.00492837,0.25572,0.096002,0.157153,-0.201886,0.374251
-0.570981,-0.00458019,-0.00124916,0.00162822,0.29395,0.192601,0.0550772,-0.0565845,0.36019
-0.765951,-0.00314189,-0.00353322,0.00301888,0.380987,0.0658967,0.134216,-0.0835201,0.417712
-0.603625,-0.00504439,0.000799026,-0.00188249,0.295962,0.150444,-0.0222469,0.0935207,0.345641
-0.630859,0.000454276,0.00204469,-0.00382358,0.18163,0.0125076,-0.0698077,0.0655305,0.205702
-0.683891,-0.00608529,-0.00186989,-0.00448328,0.335257,0.192677,0.0155272,0.128605,0.407802
-0.634795,-0.00621263,0.000196493,-0.00368493,0.320529,0.209652,-0.0286283,0.0778708,0.391888
-0.575158,-0.00273457,-0.000446934,0.000709638,0.211458,0.0969646,0.0152616,-0.00548927,0.233194
-0.735349,-0.00369626,0.00310592,0.00224812,0.246341,0.11405,-0.0907354,-0.0301718,0.28781
-0.660441,-0.00122016,0.00119354,0.00151095,0.163349,0.0429481,-0.0597069,-0.0577421,0.18822
-0.656671,-0.00155503,-0.00175786,0.00115833,0.180462,0.0344537,0.0788112,-0.104327,0.225497
-0.66761,-0.00383952,-0.000535677,0.00384415,0.139262,0.107971,0.0167555,-0.141407,0.226558
-0.657909,-0.00156062,-0.0029623,0.00444513,0.186415,0.0684871,0.0347891,-0.125548,0.237515
-0.578882,-0.0045468,-0.00257021,0.0036105,0.168267,0.191866,0.071548,-0.18431,0.322824
-0.696676,0.000361543,-0.0019786,0.00563354,0.206342,0.0134761,0.0917977,-0.153934,0.273645
-0.593726,0.000605377,-0.00085482,0.00061772,0.107414,-0.0203669,0.0747347,-0.0521584,0.142332
-0.726631,0.000973514,-0.00178636,-0.00556486,0.104861,-0.0175439,0.0624442,0.164944,0.205936
-0.602876,0.00323176,-0.00511128,-0.00363657,0.107152,-0.105814,0.149244,0.161126,0.266296
-0.59348,0.00249376,-0.00126017,-0.00283017,0.0661674,-0.11422,0.053982,0.0442924,0.149333
-0.599574,0.00231877,-5.78938e-05,0.000548478,0.0721859,-0.0618946,-0.00929716,0.000994722,0.0955467
-0.692557,0.00288982,0.00581321,-0.000332851,-0.0121507,-0.131245,-0.158153,-0.0070275,0.205997
-0.592614,0.00224294,0.00361439,-0.00118198,0.0974995,-0.118697,-0.148814,0.0304963,0.216034
-0.556245,0.000900055,0.00406383,-0.00216572,0.147598,-0.112656,-0.191764,0.11495,0.290627
-0.681577,0.00221692,0.00025141,-0.00202203,0.178335,-0.0501616,0.0137663,0.0774661,0.201271
-0.57763,-0.00172527,-0.000997026,-0.00297595,0.140243,0.0527117,-0.00220782,0.113345,0.187879
-0.665635,0.0013168,-0.00129562,-0.000950917,0.150811,-0.0831608,0.00428941,0.0545044,0.18069
-0.654467,0.0020165,-0.00124991,-0.00319215,0.208349,-0.0662526,0.00102046,0.100129,0.240469
-0.453052,-0.000287125,-0.000585767,-0.000512899,0.217197,-0.0047862,0.025406,0.0584343,0.226401
-0.656034,0.00363557,0.00294701,0.000555081,0.0863402,-0.090173,-0.0744852,-0.0117657,0.14585
-0.671657,0.00153409,-0.000306674,0.00060733,0.208311,-0.0340843,-0.00322118,-0.101749,0.234347
-0.768891,0.00224434,0.000142398,-0.000627457,0.140553,-0.0478167,-0.0267687,-0.0245978,0.15285
